Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-01-16,13.9,21.1,0.4,8.0,5.6,SSE,39,14:10,17.9,60,7,SSE,20,1010.9,20.3,52,5,SSE,30,1011.3
2019-01-17,15.2,25.2,0.2,6.8,8.2,SE,37,13:46,17.6,80,8,SE,7,1009.7,22.2,67,5,SSE,28,1004.8
2019-01-18,16.1,23.2,0.2,5.6,4.6,W,56,22:04,17.7,77,8,S,9,1006.8,21.7,60,3,SSE,31,1003.1
2019-01-19,13.1,23.9,1.6,6.2,11.8,WNW,57,23:34,16.3,41,4,WNW,20,1014.4,22.6,29,3,W,33,1014.6
2019-01-20,16.3,29.2,0,9.8,11.8,NW,54,02:49,21.0,44,7,WNW,20,1015.3,26.7,30,5,S,17,1015.3
2019-01-21,13.2,31.7,0,8.0,14.2,SSE,44,13:34,22.8,41,1,NNW,13,1014.8,23.8,55,1,SSE,30,1012.1
2019-01-22,13.4,25.1,0,7.0,11.8,S,39,13:21,19.2,76,1,NNE,11,1011.0,23.6,56,1,S,33,1008.7
2019-01-23,12.7,19.3,0,9.6,9.0,SSW,63,02:51,14.3,60,7,SW,22,1017.9,17.3,41,1,SSE,22,1019.6
2019-01-24,9.9,25.1,0,7.4,9.7,NE,50,15:48,16.3,53,1,NW,13,1019.2,23.9,41,6,NE,26,1014.3
2019-01-25,16.0,40.1,0,9.2,4.3,WNW,78,13:43,24.5,39,5,NW,9,1001.7,36.0,23,7,NW,43,996.5
2019-01-26,16.7,21.5,0,11.6,9.5,WNW,52,04:40,18.2,47,5,NW,15,1008.0,19.7,52,1,S,35,1006.7
2019-01-27,13.7,25.5,0,8.0,12.0,NW,74,14:34,20.1,38,3,NW,33,1003.3,23.2,30,4,WNW,33,1002.2
2019-01-28,14.2,32.0,0,11.0,12.4,NW,69,15:08,19.4,40,1,NW,33,1008.6,30.5,21,1,NW,43,1004.7
2019-01-29,17.8,33.2,0,13.4,11.0,NW,50,11:38,23.0,40,4,NNW,24,1006.9,30.8,14,6,WNW,31,1004.1
2019-01-30,14.1,30.6,0,10.4,5.7,SSE,63,16:39,19.5,58,7,NNW,15,1007.9,27.0,32,7,SSE,22,1002.3
2019-01-31,12.3,18.0,5.8,7.2,6.3,S,54,01:03,13.9,58,6,SW,19,1005.2,16.4,36,2,WSW,30,1011.0
2018-12-1,9.6,25.2,4.8,4.4,10.0,NE,46,15:51,14.6,54,4,NW,19,1007.1,21.8,35,3,ESE,13,1000.2
2018-12-2,12.4,18.8,2.0,7.4,7.1,NW,70,14:44,13.1,44,7,WNW,19,994.5,17.2,32,3,W,33,994.3
2018-12-3,10.2,19.0,0.2,7.2,5.5,NW,65,08:16,15.0,52,3,NW,41,992.1,14.4,52,7,WSW,39,993.3
2018-12-4,7.9,19.6,3.6,3.6,6.8,WNW,50,15:00,12.2,53,7,WSW,9,1012.4,17.5,45,7,WNW,30,1014.3
2018-12-5,9.3,21.1,0,3.6,11.5,SSE,30,11:38,15.3,63,5,NNE,7,1022.7,19.8,49,1,SSE,22,1021.2
2018-12-6,10.8,31.2,0.2,5.8,11.0,N,33,04:29,19.0,51,6,NNW,19,1018.3,30.0,25,4,NNE,17,1012.5
2018-12-7,18.9,28.7,0,10.8,4.1,S,52,20:13,22.5,47,8,N,11,1011.0,28.1,39,4,SSE,15,1009.6
2018-12-8,15.7,21.1,0,5.2,5.7,SSE,52,14:19,17.9,81,7,SSE,11,1013.5,17.6,75,6,S,35,1014.9
2018-12-9,12.6,19.6,0.4,5.2,5.1,NE,33,15:21,14.8,68,7,ESE,11,1021.6,18.4,61,7,NE,19,1019.1
2018-12-10,11.0,20.7,0,4.4,11.0,SSE,46,15:13,15.8,69,4,SE,9,1015.5,19.3,43,6,SSE,22,1015.1
2018-12-11,7.2,21.0,0,5.8,12.7,SSE,35,14:09,14.0,61,3,NNW,7,1021.6,18.7,48,1,SSE,24,1019.5
2018-12-12,10.6,25.3,0,6.6,12.9,NE,46,14:23,18.6,62,1,NE,22,1015.0,24.0,45,1,NE,31,1008.6
2018-12-13,14.9,24.8,0,8.0,10.1,NE,44,13:24,20.5,62,7,NE,28,1004.7,22.3,61,7,NE,30,1005.0
2018-12-14,14.7,23.1,0,5.6,6.4,ENE,41,16:10,18.3,58,7,ENE,13,1015.1,21.0,58,5,ESE,24,1015.1
2018-12-15,15.7,20.5,0,5.8,0.1,NE,39,18:40,17.5,71,7,E,13,1018.1,18.2,80,8,ESE,13,1014.0
2018-12-16,16.2,27.2,0.8,1.8,6.5,SE,44,16:39,20.3,84,7,WNW,13,1006.6,26.1,58,5,SE,15,1000.9
2018-12-17,15.4,21.0,0.6,5.2,5.6,SSW,61,12:57,19.9,71,7,WNW,17,1004.3,19.3,62,7,SSW,37,1008.1
2018-12-18,12.4,17.9,2.6,3.8,1.4,S,31,04:09,14.1,67,8,S,19,1019.1,16.8,49,7,SSE,19,1019.1
2018-12-19,10.7,23.3,0,5.8,10.9,NE,33,16:42,16.7,51,7,N,15,1018.2,21.2,42,3,NE,15,1014.0
2018-12-20,13.6,17.9,12.4,6.4,4.3,S,44,16:33,13.8,92,8,S,20,1011.0,16.0,65,7,SSE,28,1011.3
2018-12-21,9.5,16.6,1.4,3.4,2.9,SSE,39,10:50,15.7,50,7,SSW,11,1013.2,13.6,71,7,SSE,15,1012.8
2018-12-22,10.7,19.1,1.8,2.6,6.8,S,30,17:20,13.5,67,7,WSW,11,1017.3,17.0,44,7,SSE,17,1016.8
2018-12-23,11.9,24.7,0.2,5.2,9.2,NW,44,10:00,17.6,50,7,NW,22,1016.0,21.9,37,7,NW,22,1013.8
2018-12-24,13.3,32.4,0,5.4,12.6,NW,57,13:36,19.3,42,2,NW,19,1012.8,31.0,10,1,NW,33,1007.4
2018-12-25,14.8,20.3,0,13.6,9.5,SSE,44,14:03,17.3,50,4,SE,17,1016.0,18.1,52,7,SSE,33,1016.1
2018-12-26,14.2,22.0,0,8.4,6.7,SSE,35,14:46,16.1,65,7,NE,9,1018.1,20.0,55,7,SE,24,1015.3
2018-12-27,13.2,26.3,0,7.4,5.8,SW,35,17:56,18.3,46,7,NNW,15,1010.4,21.5,39,7,S,22,1006.3
2018-12-28,16.5,23.0,0,5.6,12.0,NW,54,03:24,19.3,71,1,SSE,20,1004.5,21.0,55,7,S,31,1004.8
2018-12-29,15.3,26.3,0.8,7.6,11.9,NW,72,09:28,22.3,41,3,NW,44,1003.2,25.3,16,3,WSW,28,1006.7
2018-12-30,13.7,23.3,0,12.0,10.9,SE,37,14:09,16.6,45,1,NW,17,1013.6,22.0,37,1,SE,24,1012.1
2018-12-31,15.8,23.9,0,7.6,10.6,S,52,14:51,18.6,65,7,NE,11,1012.7,21.3,58,3,S,31,1006.9
2018-11-1,5.7,24.5,0,5.2,10.8,N,50,22:15,13.0,58,7,NNW,11,1017.4,22.9,31,5,SE,17,1009.0
2018-11-2,12.5,25.6,4.0,4.6,9.0,WNW,89,16:24,19.2,79,7,NNW,28,996.2,23.6,28,1,NW,65,990.7
2018-11-3,6.2,16.3,3.2,8.4,8.9,W,76,15:21,9.8,57,5,W,31,1000.4,14.9,31,3,W,33,1002.9
2018-11-4,9.8,18.6,0.2,7.0,2.8,NW,48,12:27,13.1,59,7,NNW,17,1005.9,17.2,43,7,NW,26,1004.4
2018-11-5,10.8,23.5,0,2.4,5.9,SE,33,18:18,14.3,73,7,NNW,11,1003.6,22.8,45,4,NNW,22,998.5
2018-11-6,7.5,18.8,0,3.8,3.9,WNW,50,19:42,15.7,61,7,NNW,11,1000.5,15.1,75,7,NE,15,999.1
2018-11-7,8.4,16.6,0,3.4,11.5,WNW,63,11:57,12.4,39,1,NW,31,1001.2,15.9,31,2,WNW,31,1001.0
2018-11-8,5.3,17.2,0,4.0,7.5,NW,50,11:37,10.4,47,5,WNW,31,1011.9,15.7,38,4,W,20,1012.0
2018-11-9,9.7,19.0,0,4.0,2.8,NW,39,09:20,13.1,46,7,NW,24,1015.0,16.7,40,7,WNW,13,1012.5
2018-11-10,8.9,21.3,0.2,6.8,6.9,S,39,15:33,14.9,51,7,WNW,17,1014.9,20.4,34,5,W,19,1013.5
2018-11-11,10.2,18.0,0,4.0,9.2,S,39,11:24,15.1,49,2,NW,13,1020.5,16.4,56,4,SSE,31,1021.2
2018-11-12,7.9,22.7,0,5.0,6.7,S,41,15:13,16.1,52,7,NNW,17,1020.8,20.0,50,8,SSE,17,1016.9
2018-11-13,13.0,29.7,0,5.2,4.6,NNW,61,16:15,19.5,48,7,NNW,19,1010.0,27.9,23,7,N,17,1004.4
2018-11-14,12.7,19.3,0,7.4,3.4,SSE,37,15:08,16.8,76,7,S,13,1011.4,12.7,88,8,SE,15,1012.3
2018-11-15,7.1,14.7,2.4,2.0,5.6,SSE,39,12:45,11.7,70,7,WSW,4,1022.0,12.4,52,7,SSE,28,1024.5
2018-11-16,9.4,17.7,0.8,4.0,2.3,S,41,15:16,12.7,63,7,NW,9,1022.5,15.7,51,7,SE,22,1019.9
2018-11-17,6.0,19.4,0,2.6,10.5,SSE,52,13:42,13.6,52,1,NW,20,1024.0,13.9,69,6,SSE,37,1023.3
2018-11-18,11.2,20.0,0,3.8,7.9,ESE,35,15:12,12.7,62,7,ESE,9,1026.7,18.4,51,1,SE,19,1023.7
2018-11-19,9.2,24.5,0,5.2,12.2,NE,43,10:00,17.8,51,2,N,19,1021.3,22.9,45,4,NE,28,1016.3
2018-11-20,12.9,23.3,0,8.0,2.2,NNE,39,09:27,18.7,49,7,NNE,22,1009.2,21.3,58,8,NE,28,1005.1
2018-11-21,15.4,17.2,14.8,3.0,2.0,SSE,44,16:40,16.3,80,8,NNW,9,995.7,16.1,75,7,SSE,33,996.2
2018-11-22,10.6,14.1,0.6,3.2,0.3,S,52,13:42,10.9,92,8,SSW,13,998.9,12.9,80,8,S,35,996.9
2018-11-23,10.9,16.0,6.6,0.8,5.8,S,63,05:27,13.7,72,7,SSE,39,999.4,13.1,75,7,S,35,1001.9
2018-11-24,11.1,16.9,7.4,2.0,3.5,S,52,09:42,13.8,87,7,S,28,1006.7,15.4,77,7,S,30,1006.6
2018-11-25,11.5,14.0,1.4,2.6,0.0,S,43,10:01,12.1,81,7,SSW,22,1008.8,12.2,92,7,SSW,22,1008.2
2018-11-26,11.5,18.7,2.2,1.2,4.5,SSE,30,13:35,13.7,91,8,WNW,13,1009.4,17.1,66,3,SSE,20,1008.3
2018-11-27,13.6,18.1,0,2.2,3.4,SSE,28,11:34,15.1,78,8,S,9,1009.3,17.1,70,7,SE,22,1008.5
2018-11-28,11.6,19.8,0,2.4,7.5,SSE,35,14:52,15.9,75,7,ESE,15,1012.5,18.0,59,2,SE,26,1011.6
2018-11-29,13.2,20.5,0,6.2,8.8,SSE,33,14:16,16.5,65,6,NNE,9,1014.9,19.3,50,2,SE,26,1012.7
2018-11-30,13.9,19.6,0,7.4,4.8,S,48,15:14,15.6,73,7,S,9,1009.8,17.7,68,7,S,28,1005.5
2018-10-1,6.8,18.5,0,4.8,7.9,NW,41,10:48,12.1,54,7,NNW,17,1023.8,16.8,40,7,SE,19,1021.7
2018-10-2,9.8,17.7,0,3.6,5.8,SSE,31,12:54,13.5,68,3,NNW,6,1026.0,16.4,57,7,E,17,1019.9
2018-10-3,11.0,15.5,0.6,3.6,5.9,S,59,12:11,12.4,85,7,SSE,13,1010.8,12.4,57,1,S,35,1014.6
2018-10-4,2.1,14.7,0,4.0,11.3,SSE,30,16:10,10.3,53,1,NW,15,1024.7,13.7,43,3,SSE,15,1022.9
2018-10-5,4.2,15.8,0,3.4,11.5,SE,31,13:42,11.7,50,2,NW,9,1029.4,14.9,48,1,SE,20,1026.3
2018-10-6,5.6,17.7,0,3.0,10.0,S,43,15:33,13.5,56,4,NNW,11,1026.7,16.1,44,4,SE,24,1024.1
2018-10-7,8.0,21.1,0,7.8,9.7,NE,30,15:50,11.8,78,7,N,9,1027.1,18.4,38,3,SE,13,1023.0
2018-10-8,8.8,18.8,0,4.8,2.8,SE,31,14:36,13.1,67,7,NNW,13,1021.8,15.3,63,7,SE,20,1018.7
2018-10-9,10.0,12.9,0,3.0,2.8,SSW,59,15:55,12.5,88,8,NNE,6,1012.7,10.6,63,7,S,33,1016.0
2018-10-10,7.2,13.0,5.4,3.4,7.9,S,56,23:38,9.1,42,7,S,22,1029.0,11.1,49,6,S,20,1029.3
2018-10-11,4.2,13.7,0,3.8,6.7,SSW,31,09:29,6.9,73,6,NW,15,1030.4,12.9,54,1,SE,17,1029.1
2018-10-12,6.9,18.1,0,3.4,6.9,NE,30,16:41,11.9,67,6,NNE,11,1031.7,16.6,51,3,ENE,9,1028.8
2018-10-13,4.1,22.2,0,3.2,11.4,NE,37,16:55,12.8,70,2,NNW,11,1029.0,21.3,35,1,NNE,19,1025.4
2018-10-14,5.4,21.2,0,3.8,9.7,NE,46,15:11,12.7,65,7,NW,13,1027.1,20.1,57,2,NE,28,1022.6
2018-10-15,10.6,26.1,0,5.2,8.9,N,37,14:31,16.0,75,5,N,15,1022.6,25.1,39,7,N,20,1019.0
2018-10-16,15.0,24.1,0,5.0,5.0,SE,24,14:35,16.8,75,7,WNW,7,1017.6,22.8,55,6,SE,17,1014.0
2018-10-17,14.6,19.6,1.4,2.6,0.4,SSE,20,16:35,16.1,94,7,NW,7,1013.8,16.2,90,8,SE,7,1012.4
2018-10-18,12.0,21.6,22.2,2.4,7.3,SSW,37,16:17,16.0,83,6,NW,9,1011.6,19.1,75,7,S,17,1008.2
2018-10-19,12.9,21.8,4.8,4.0,11.6,NNW,41,20:16,15.9,72,7,NNW,13,1012.1,20.8,52,5,NE,7,1008.3
2018-10-20,15.0,20.2,0.2,4.0,6.1,N,41,03:22,16.0,76,7,NNW,20,1007.4,17.0,51,7,SE,17,1009.5
2018-10-21,7.1,18.9,0,4.0,12.0,SSE,30,11:53,12.0,60,1,NW,15,1017.4,17.3,43,1,SSE,19,1013.9
2018-10-22,8.2,22.9,0,5.6,10.8,N,48,16:57,14.4,70,3,NNW,17,1011.2,21.4,42,7,N,22,1006.4
2018-10-23,12.8,20.2,0,6.0,8.0,NW,57,11:50,15.9,55,7,NNW,20,1007.0,19.0,30,4,WNW,24,1006.9
2018-10-24,4.8,14.8,0,4.0,11.6,SSE,35,17:27,10.6,50,1,NW,15,1021.3,13.9,50,6,SE,20,1022.1
2018-10-25,5.4,16.9,0,4.4,5.1,WNW,41,19:55,10.9,62,7,NNW,17,1019.0,14.9,46,7,SSE,24,1014.1
2018-10-26,7.3,17.7,0.2,3.4,7.7,NW,37,14:42,11.2,46,7,W,13,1015.0,15.7,37,7,NW,24,1013.4
2018-10-27,11.0,15.7,0,4.6,5.2,SSW,72,14:33,13.4,54,8,NW,24,1006.2,11.1,48,7,SSW,41,1011.0
2018-10-28,5.3,15.1,2.6,3.2,9.2,WSW,35,03:01,10.3,45,7,W,11,1019.3,14.2,43,7,SE,15,1015.6
2018-10-29,7.1,16.4,0,3.4,11.9,SSE,33,15:16,12.3,57,6,S,15,1020.1,15.0,42,1,SSE,22,1017.1
2018-10-30,8.2,22.3,0,5.6,8.5,NW,46,12:16,12.9,53,7,NNW,19,1013.0,21.4,33,6,NW,9,1008.1
2018-10-31,4.7,17.0,0,4.0,11.3,SW,39,23:10,12.5,46,1,NNW,17,1018.6,15.4,41,7,SSE,24,1018.8
